User Input,Response,sentiment,entities,context
i dont want to see a movie by myself,"okay, so are you going to school tomorrow?",,,want
thanks for coming to see me today,it's no problem. i was really missing you anyway.,,,thanks
its no problem i was really missing you anyway,i missed you too.,,,missing
i missed you too,why haven't you tried to come see me then?,,,missed
why havent you tried to come see me then,i've been really busy.,,,tried
ive been really busy,doing what?,,,been
doing what,working.,,,doing
working,"i would've come to see you sooner, but i've been busy too.",,,working
i wouldve come to see you sooner but ive been busy too,what have you been doing?,,,come been
what have you been doing,i've been working too.,,,doing
ive been working too,"well regardless, i'm very happy that you came to see me.",,,working
well regardless im very happy that you came to see me,i am too.,,,m
im really glad that you came to see me,i had to. i was missing you a lot.,,,m
i had to i was missing you a lot,i was missing you too.,,,had
i was missing you too,"so, why haven't you visited me?",,,missing
so why havent you visited me,i've actually been busy lately.,,,visited
ive actually been busy lately,what have you been doing?,,,been
what have you been doing,i've just been working really hard.,,,doing
ive just been working really hard,i've also been busy.,,,working
ive also been busy,tell me what you've been doing.,,,been
tell me what youve been doing,"basically, i've been working too.",,,tell
basically ive been working too,"well whatever, i'm glad you came.",,,working
well whatever im glad you came,so am i.,,,m
im really happy that you came to visit me,i really missed you a lot.,,,m
i really missed you a lot,i've been missing you like crazy.,,,missed
ive been missing you like crazy,i don't understand why you haven't come to visit me.,,,missing
i dont understand why you havent come to visit me,"lately, i've been quite busy.",,,understand
lately ive been quite busy,tell me what you've been up to.,,,been
tell me what youve been up to,i've really been working a lot lately.,,,tell
ive really been working a lot lately,i've been pretty busy myself.,,,working
ive been pretty busy myself,so what have you been up to?,,,been
so what have you been up to,i've just been working a lot.,,,been
ive just been working a lot,"whatever the reason may be, i'm glad you visited me.",,,working
hey did you hear about jessicas party this weekend,"yeah, but i'm still waiting for my invitation.",,,hear
yeah but im still waiting for my invitation,oh really? she gave me mine earlier today.,,,yeah waiting
oh really she gave me mine earlier today,"well, she'll probably just give me my invitation later on today.",,,gave
well shell probably just give me my invitation later on today,"yeah, so are you planning on going?",,,give
yeah so are you planning on going,i think so. it sounds like it's going to be a lot of fun.,,,yeah planning
i think so it sounds like its going to be a lot of fun,"it really does, i can't wait.",,,think
it really does i cant wait,what time does the party start?,,,wait
what time does the party start,it starts at 8 o'clock.,,,start
it starts at  oclock,"oh, well, how many people has she given invites to so far?",,,starts
oh well how many people has she given invites to so far,"i'm not sure, but i don't think she's given out that many.",,,given
im not sure but i dont think shes given out that many,"well, hopefully she'll give me my invite later on today.",,,m think
have you heard about jessicas party on saturday,"i've heard about it, but i'm still waiting for my invitation.",,,heard
ive heard about it but im still waiting for my invitation,really? i got mine from her this morning.,,,heard
really i got mine from her this morning,i'm guessing that she's going to give me my invite today or tomorrow.,,,got
im guessing that shes going to give me my invite today or tomorrow,"you're probably right, do you intend on going to the party?",,,guessing
youre probably right do you intend on going to the party,i want to. i heard it's going to be really fun.,,,intend
i want to i heard its going to be really fun,"i know, it does sound pretty awesome.",,,want
i know it does sound pretty awesome,"well, when does the party start?",,,know
well when does the party start,it's supposed to start at about eight.,,,start
its supposed to start at about eight,how many invitations has she given out?,,,supposed
how many invitations has she given out,"i really don't know, but i don't think she gave out that many yet.",,,given
i really dont know but i dont think she gave out that many yet,"i really want to go, so i hope that she gives me my invite soon.",,,know think
has anyone told you about jessicas party coming up,i was told about it already. i'm just waiting for my invitation.,,,told
i was told about it already im just waiting for my invitation,is that right? i already got my invitation from her earlier.,,,told
is that right i already got my invitation from her earlier,i believe that she will give me the invitation today.,,,is got
i believe that she will give me the invitation today,are you even going to go?,,,believe
are you even going to go,"yeah, it sounds like it's going to be the best party of the year.",,,going
yeah it sounds like its going to be the best party of the year,"exactly, it seems like it's going to be loads of fun.",,,sounds
exactly it seems like its going to be loads of fun,when exactly does the party start?,,,seems
when exactly does the party start,the invitation says it starts at 8:00 p.m.,,,start
the invitation says it starts at  pm,has she given out a lot of invitations yet?,,,says
